time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
1.402500,[Sector: 0 elevation: 0.000000],7,25,1322,143
1.402500,[Sector: 0 elevation: 0.000000],6,17,5099,832
1.402500,[Sector: 0 elevation: 0.000000],5,27,432,52
1.402500,[Sector: 0 elevation: 0.000000],4,27,432,52
1.402500,[Sector: 0 elevation: 0.000000],3,25,1445,156
1.402500,[Sector: 0 elevation: 0.000000],2,27,432,52
1.402500,[Sector: 0 elevation: 0.000000],1,27,432,52
1.413000,[Sector: 0 elevation: 0.000000],9,25,977,104
1.413000,[Sector: 0 elevation: 0.000000],8,27,2141,221
1.413000,[Sector: 0 elevation: 0.000000],7,25,2264,247
1.413000,[Sector: 0 elevation: 0.000000],6,23,552,78
1.413000,[Sector: 0 elevation: 0.000000],5,27,3085,312
1.413000,[Sector: 0 elevation: 0.000000],4,27,3085,312
1.413000,[Sector: 0 elevation: 0.000000],3,27,2141,221
1.413000,[Sector: 0 elevation: 0.000000],2,27,3085,312
1.413000,[Sector: 0 elevation: 0.000000],1,27,3085,312
1.414000,[Sector: 0 elevation: 0.000000],9,25,10,13
1.423000,[Sector: 0 elevation: 0.000000],5,27,552,65
1.423000,[Sector: 0 elevation: 0.000000],4,27,552,65
1.423000,[Sector: 0 elevation: 0.000000],2,27,552,65
1.423000,[Sector: 0 elevation: 0.000000],1,27,552,65
1.600500,[Sector: 0 elevation: 0.000000],9,25,12224,390
1.600500,[Sector: 0 elevation: 0.000000],8,27,12224,390
1.600500,[Sector: 0 elevation: 0.000000],7,25,12224,390
1.600500,[Sector: 0 elevation: 0.000000],6,27,12224,390
1.600500,[Sector: 0 elevation: 0.000000],5,27,12224,377
1.600500,[Sector: 0 elevation: 0.000000],4,27,12224,377
1.600500,[Sector: 0 elevation: 0.000000],3,25,12224,390
1.600500,[Sector: 0 elevation: 0.000000],2,27,12224,377
1.600500,[Sector: 0 elevation: 0.000000],1,27,12224,377
1.601500,[Sector: 0 elevation: 0.000000],9,25,8549,377
1.601500,[Sector: 0 elevation: 0.000000],8,27,8249,377
1.601500,[Sector: 0 elevation: 0.000000],7,25,8549,377
1.601500,[Sector: 0 elevation: 0.000000],6,27,8249,390
1.601500,[Sector: 0 elevation: 0.000000],5,27,8382,390
1.601500,[Sector: 0 elevation: 0.000000],4,27,8382,390
1.601500,[Sector: 0 elevation: 0.000000],3,25,8549,377
1.601500,[Sector: 0 elevation: 0.000000],2,27,8382,390
1.601500,[Sector: 0 elevation: 0.000000],1,27,8382,390
1.602000,[Sector: 0 elevation: 0.000000],9,25,4997,390
1.602000,[Sector: 0 elevation: 0.000000],8,27,4407,390
1.602000,[Sector: 0 elevation: 0.000000],7,25,4997,390
1.602000,[Sector: 0 elevation: 0.000000],6,27,4274,377
1.602000,[Sector: 0 elevation: 0.000000],5,27,4407,390
1.602000,[Sector: 0 elevation: 0.000000],4,27,4407,377
1.602000,[Sector: 0 elevation: 0.000000],3,25,4997,390
1.602000,[Sector: 0 elevation: 0.000000],2,27,4407,377
1.602000,[Sector: 0 elevation: 0.000000],1,27,4407,377
1.602500,[Sector: 0 elevation: 0.000000],9,25,1322,143
1.602500,[Sector: 0 elevation: 0.000000],8,27,432,52
1.602500,[Sector: 0 elevation: 0.000000],7,25,1322,143
1.602500,[Sector: 0 elevation: 0.000000],6,27,432,52
1.602500,[Sector: 0 elevation: 0.000000],5,27,432,52
1.602500,[Sector: 0 elevation: 0.000000],4,27,565,65
1.602500,[Sector: 0 elevation: 0.000000],3,25,1322,143
1.602500,[Sector: 0 elevation: 0.000000],2,27,565,65
1.602500,[Sector: 0 elevation: 0.000000],1,27,565,65
1.614500,[Sector: 0 elevation: 0.000000],9,13,2264,507
