time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
5.2015,[Sector: 0 elevation: 0.000000],5332.29021,1,dynamic_continuous_30s,bw100,100,rr
5.202,[Sector: 0 elevation: 0.000000],5338.9637028,1,dynamic_continuous_30s,bw100,100,rr
5.2025,[Sector: 0 elevation: 0.000000],2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr
5.203,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
5.2125,[Sector: 0 elevation: 0.000000],3593.1849876,1,dynamic_continuous_30s,bw100,100,rr
5.213,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
5.2225,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
5.223,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
5.4005,[Sector: 0 elevation: 0.000000],5437.5031386,1,dynamic_continuous_30s,bw100,100,rr
5.4015,[Sector: 0 elevation: 0.000000],5446.9894752,1,dynamic_continuous_30s,bw100,100,rr
5.402,[Sector: 0 elevation: 0.000000],5439.2514696,1,dynamic_continuous_30s,bw100,100,rr
5.4025,[Sector: 0 elevation: 0.000000],1737.6850764,1,dynamic_continuous_30s,bw100,100,rr
5.415,[Sector: 0 elevation: 0.000000],3978.7275761999995,1,dynamic_continuous_30s,bw100,100,rr
5.425,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
5.6005,[Sector: 0 elevation: 0.000000],5041.849269599999,1,dynamic_continuous_30s,bw100,100,rr
5.6015,[Sector: 0 elevation: 0.000000],5057.1864486,1,dynamic_continuous_30s,bw100,100,rr
5.602,[Sector: 0 elevation: 0.000000],5054.3736048,1,dynamic_continuous_30s,bw100,100,rr
5.6025,[Sector: 0 elevation: 0.000000],2538.4222656,1,dynamic_continuous_30s,bw100,100,rr
5.603,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
5.6125,[Sector: 0 elevation: 0.000000],3375.7578504,1,dynamic_continuous_30s,bw100,100,rr
5.613,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
5.6225,[Sector: 0 elevation: 0.000000],660.3794262000001,1,dynamic_continuous_30s,bw100,100,rr
5.623,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
5.8005,[Sector: 0 elevation: 0.000000],5488.2047376,1,dynamic_continuous_30s,bw100,100,rr
5.8015,[Sector: 0 elevation: 0.000000],5489.9530686,1,dynamic_continuous_30s,bw100,100,rr
5.802,[Sector: 0 elevation: 0.000000],5499.4394052,1,dynamic_continuous_30s,bw100,100,rr
5.8025,[Sector: 0 elevation: 0.000000],1603.9888722,1,dynamic_continuous_30s,bw100,100,rr
5.814,[Sector: 0 elevation: 0.000000],4028.2425378,1,dynamic_continuous_30s,bw100,100,rr
5.824,[Sector: 0 elevation: 0.000000],755.8975710000001,1,dynamic_continuous_30s,bw100,100,rr
6.0005,[Sector: 0 elevation: 0.000000],5346.363180599999,1,dynamic_continuous_30s,bw100,100,rr
6.0015,[Sector: 0 elevation: 0.000000],5348.1115116,1,dynamic_continuous_30s,bw100,100,rr
6.002,[Sector: 0 elevation: 0.000000],5358.8875158,1,dynamic_continuous_30s,bw100,100,rr
6.0025,[Sector: 0 elevation: 0.000000],2010.7528973999997,1,dynamic_continuous_30s,bw100,100,rr
6.003,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
6.013,[Sector: 0 elevation: 0.000000],4261.8346758,1,dynamic_continuous_30s,bw100,100,rr
6.023,[Sector: 0 elevation: 0.000000],619.706763,1,dynamic_continuous_30s,bw100,100,rr
6.2005,[Sector: 0 elevation: 0.000000],5330.541879,1,dynamic_continuous_30s,bw100,100,rr
6.2015,[Sector: 0 elevation: 0.000000],5340.7120337999995,1,dynamic_continuous_30s,bw100,100,rr
6.202,[Sector: 0 elevation: 0.000000],5330.541879,1,dynamic_continuous_30s,bw100,100,rr
6.2025,[Sector: 0 elevation: 0.000000],2062.9872198,1,dynamic_continuous_30s,bw100,100,rr
6.203,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
6.214,[Sector: 0 elevation: 0.000000],4275.7230672,1,dynamic_continuous_30s,bw100,100,rr
6.2145,[Sector: 0 elevation: 0.000000],20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr
6.224,[Sector: 0 elevation: 0.000000],753.3790992,1,dynamic_continuous_30s,bw100,100,rr
6.4005,[Sector: 0 elevation: 0.000000],5267.828708999999,1,dynamic_continuous_30s,bw100,100,rr
6.4015,[Sector: 0 elevation: 0.000000],5271.464203199999,1,dynamic_continuous_30s,bw100,100,rr
6.402,[Sector: 0 elevation: 0.000000],5269.57704,1,dynamic_continuous_30s,bw100,100,rr
6.4025,[Sector: 0 elevation: 0.000000],2192.7563424,1,dynamic_continuous_30s,bw100,100,rr
6.4125,[Sector: 0 elevation: 0.000000],3489.2529749999994,1,dynamic_continuous_30s,bw100,100,rr
6.413,[Sector: 0 elevation: 0.000000],20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr
6.4225,[Sector: 0 elevation: 0.000000],441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr
6.5005,[Sector: 0 elevation: 0.000000],5326.4393676,1,dynamic_continuous_30s,bw100,100,rr
