time_s,beam_id,backlog_total_bytes,ues_com_backlog,ues_atendidos,starvation_real_pct,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode,jain_backlog,jain_alocacao
4.2005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5203.3640256,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
4.2015,[Sector: 0 elevation: 0.000000],78337,9,9,0.0,5221.7392032,1,dynamic_continuous_30s,bw100,100,rr,0.9958849211905864,0.9997174183338985
4.202,[Sector: 0 elevation: 0.000000],46562,9,9,0.0,5207.466537,1,dynamic_continuous_30s,bw100,100,rr,0.9515689351770269,0.9997174183338985
4.2025,[Sector: 0 elevation: 0.000000],14860,9,9,0.0,2392.5673044,1,dynamic_continuous_30s,bw100,100,rr,0.47372427005043966,0.3499466716858021
4.203,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.2125,[Sector: 0 elevation: 0.000000],19464,8,8,0.0,3284.7388235999997,1,dynamic_continuous_30s,bw100,100,rr,0.7992630415152824,0.8253036374367099
4.213,[Sector: 0 elevation: 0.000000],3547,1,1,0.0,596.6081082,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.2225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,549.8964432,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5522875816993464
4.223,[Sector: 0 elevation: 0.000000],552,1,1,0.0,101.741328,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.4005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5338.3256316,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
4.4015,[Sector: 0 elevation: 0.000000],77587,9,9,0.0,5354.5562694,1,dynamic_continuous_30s,bw100,100,rr,0.9941903025903008,0.9997174183338985
